Cell	nCount_RNA	nFeature_RNA	Cluster
SRR5023473	1782308	8380	2
SRR5023474	1926584	5706	2
SRR5023475	1853960	6456	2
SRR5023476	1885445	5243	2
SRR5023477	1753813	6150	2
SRR5023478	2541604	5636	2
SRR5023479	2596515	7537	2
SRR5023480	1707017	8009	2
SRR5023481	2333192	7770	2
SRR5023482	1979901	7480	2
SRR5023483	2102358	7310	2
SRR5023484	2148463	8001	2
SRR5023486	692569	10238	2
SRR5023487	2261283	6088	2
SRR5023488	1728649	6879	2
SRR5023489	2607423	7697	2
SRR5023490	2561154	8276	2
SRR5023491	2137679	6028	2
SRR5023492	2562392	8308	2
SRR5023493	1919286	7466	2
SRR5023494	2098753	6210	2
SRR5023495	2128878	6792	2
SRR5023496	2038317	5980	2
SRR5023497	2531798	5713	2
SRR5023498	2119094	8595	2
SRR5023499	1920063	7613	2
SRR5023500	1843887	5955	2
SRR5023501	2137086	7756	2
SRR5023502	2330443	6769	2
SRR5023503	1980555	7355	2
SRR5023504	2683358	6890	2
SRR5023505	2068975	7970	2
SRR5023506	1948099	8318	2
SRR5023507	1732871	5937	2
SRR5023508	1596420	7358	2
SRR5023509	2195910	6379	2
SRR5023510	2922682	5248	2
SRR5023511	3422380	8543	2
SRR5023512	1653314	6010	2
SRR5023513	1375135	4765	0
SRR5023514	2056030	5411	2
SRR5023515	1663377	5707	2
SRR5023516	1864596	7270	2
SRR5023517	2468521	5986	2
SRR5023518	2316306	6120	2
SRR5023519	2144511	6427	2
SRR5023520	1860152	7313	2
SRR5023522	2208835	5741	2
SRR5023523	2185465	7471	2
SRR5023524	1708510	7483	2
SRR5023525	2218708	8303	2
SRR5023526	2111857	5912	2
SRR5023527	2442884	5437	2
SRR5023528	1951431	6466	2
SRR5023529	1809554	4588	2
SRR5023530	1320837	7072	2
SRR5023531	1523320	7326	2
SRR5023532	2186747	5315	2
SRR5023533	2507643	3492	0
SRR5023535	3971454	2636	3
SRR5023536	1993304	2121	0
SRR5023537	3862739	6306	3
SRR5023539	1945895	2050	0
SRR5023540	2869792	7001	3
SRR5023541	2763629	3720	0
SRR5023542	4137053	2873	0
SRR5023543	3144740	5403	3
SRR5023544	4008306	6602	3
SRR5023545	1869394	3208	0
SRR5023546	3500075	6636	3
SRR5023547	4218473	6096	3
SRR5023548	3250114	4837	6
SRR5023551	2096481	1701	7
SRR5023553	2681761	2455	0
SRR5023554	3635948	7902	3
SRR5023555	2449949	2768	0
SRR5023557	4469909	6798	3
SRR5023558	1933806	5551	3
SRR5023559	2146252	3864	3
SRR5023561	2569940	6532	0
SRR5023562	3001940	5293	5
SRR5023563	2494870	4451	3
SRR5023564	2713216	4479	3
SRR5023566	1439544	4127	3
SRR5023567	1489758	3196	0
SRR5023568	969124	6065	3
SRR5023569	1372003	5071	1
SRR5023570	1694266	8375	3
SRR5023571	1547272	4277	3
SRR5023572	2549742	3963	3
SRR5023573	1357202	5336	3
SRR5023574	1984783	5597	3
SRR5023575	1900217	7164	3
SRR5023576	1644310	6020	3
SRR5023577	2561091	4813	3
SRR5023578	2014407	7656	3
SRR5023579	2418883	6603	3
SRR5023580	2226332	3933	3
SRR5023581	1217122	5563	3
SRR5023583	3161299	3926	3
SRR5023584	2133831	6651	3
SRR5023585	1687364	7752	3
SRR5023586	161597	909	0
SRR5023587	3182884	3948	0
SRR5023588	4412455	6240	3
SRR5023589	3772971	4759	5
SRR5023590	1708085	3067	5
SRR5023591	3231468	5210	0
SRR5023593	3360202	5191	0
SRR5023594	1811716	2541	0
SRR5023595	2732333	5248	0
SRR5023596	4967140	3784	0
SRR5023597	2196820	4400	0
SRR5023599	3428627	7509	3
SRR5023600	3115900	4075	0
SRR5023601	3915171	3497	0
SRR5023602	2348299	4844	0
SRR5023603	5595079	4157	5
SRR5023604	3798335	6055	3
SRR5023605	2903295	4467	6
SRR5023607	4533317	4525	5
SRR5023608	3470372	3461	0
SRR5023609	2982899	4174	0
SRR5023610	3836727	4485	3
SRR5023611	3183904	4163	0
SRR5023612	2871508	3941	5
SRR5023613	2767240	4146	0
SRR5023614	3117418	4287	5
SRR5023615	3880753	6536	3
SRR5023616	2991528	3306	5
SRR5023617	4904859	6234	3
SRR5023618	2264256	3203	5
SRR5023619	2314189	3615	5
SRR5023620	4190174	8035	3
SRR5023621	2548658	4216	5
SRR5023622	2726941	3885	0
SRR5023623	2392232	4470	0
SRR5023624	3056423	3783	0
SRR5023625	2375682	2646	5
SRR5023626	2762136	3787	5
SRR5023627	3014566	4631	5
SRR5023628	2721734	4024	0
SRR5023629	2989219	3259	0
SRR5023630	4334431	3683	0
SRR5023631	2903563	2666	5
SRR5023632	2029790	3545	0
SRR5023633	2460465	3923	0
SRR5023634	2534507	3134	5
SRR5023635	3414052	3628	0
SRR5023636	3632704	4201	5
SRR5023637	2424551	3658	5
SRR5023639	1987985	2775	5
SRR5023640	2885424	3833	5
SRR5023641	2371785	3970	0
SRR5023642	2990110	3944	5
SRR5023643	2212793	3196	0
SRR5023644	3143503	3552	5
SRR5023645	2299214	4074	0
SRR5023646	3268801	4441	0
SRR5023648	3079997	6236	3
SRR5023651	3640231	3684	0
SRR5023653	6382714	5490	3
SRR5023654	2592815	5892	3
SRR5023657	1966865	5000	3
SRR5023660	3016495	4440	3
SRR5023662	2804743	7479	3
SRR5023663	2162346	5266	3
SRR5023664	3985800	7047	3
SRR5023665	2258236	6407	5
SRR5023666	1591417	6717	3
SRR5023667	2135909	6252	3
SRR5023668	1957969	5520	3
SRR5023669	1966148	7160	3
SRR5023670	2701105	7738	3
SRR5023671	3756187	6022	3
SRR5023672	1742852	7368	3
