Cell	nCount_RNA	nFeature_RNA	Cluster
SRR5959981	154402	4204	4
SRR5960409	746267	5589	3
SRR5959370	15641	800	0
SRR5968003	90125	2316	7
SRR5958655	905602	5665	5
SRR5958747	13589	2055	5
SRR5958991	24553	2874	5
SRR5959871	403507	5745	10
SRR5958730	2144089	6436	5
SRR5960110	136270	3981	4
SRR5960029	530856	5200	10
SRR5965050	5035	798	0
SRR5959032	63512	4504	5
SRR5965117	73187	1252	0
SRR5967804	524283	2294	1
SRR5960816	377234	5019	8
SRR5959119	16044	688	0
SRR5959051	19059	912	0
SRR5959153	24192	848	0
SRR5961172	412600	7168	11
SRR5960945	362122	5024	8
SRR5959985	370497	4081	4
SRR5967779	451649	3081	1
SRR5960188	352305	4528	4
SRR5959208	1074	247	0
SRR5959827	369297	4639	4
SRR5960971	156083	6692	11
SRR5958820	3161	1095	5
SRR5960193	1466583	8781	10
SRR5957524	206659	5678	9
SRR5960860	420424	4758	8
SRR5964793	1260	414	0
SRR5960584	73224	3261	3
SRR5959172	1591	317	0
SRR5960825	99421	3784	5
SRR5967927	704129	5411	1
SRR5960429	181861	5078	3
SRR5959299	6534	616	0
SRR5960623	41888	2785	3
SRR5960571	117838	4276	3
SRR5959419	2373	393	0
SRR5959139	6128	524	0
SRR5961226	344751	5048	8
SRR5958665	35923	2709	5
SRR5967943	1129502	3389	1
SRR5960367	1054137	6628	3
SRR5958728	1990992	6226	5
SRR5960290	181172	4529	3
SRR5959351	46742	1004	0
SRR5957437	44969	3271	9
SRR5960673	234641	5224	3
SRR5959947	1919111	9179	10
SRR5960933	257707	4805	8
SRR5958967	2106313	4121	5
SRR5960751	153460	4048	3
SRR5959067	46370	1080	0
SRR5960373	467511	6047	3
SRR5961418	1382596	5744	1
SRR5958899	1320328	5656	5
SRR5967968	96742	2109	7
SRR5960494	45117	4089	3
SRR5961047	204339	5746	11
SRR5959156	24709	780	0
SRR5960136	1472916	8135	10
SRR5957517	248232	2912	9
SRR5964727	3821	667	0
SRR5960745	63179	3973	3
SRR5964762	14238	1384	0
SRR5958793	27043	3617	5
SRR5967834	1013532	3536	1
SRR5957583	64134	5411	9
SRR5960558	244474	4192	3
SRR5968156	128699	2499	7
SRR5960024	437700	6477	10
SRR5968029	256341	4356	7
SRR5961327	632606	3898	1
SRR5961121	580292	5063	8
SRR5960979	106661	4094	11
SRR5968041	57224	1279	7
SRR5960659	41563	1457	7
SRR5959231	2767	375	0
SRR5961445	919747	4533	1
SRR5960619	1304034	6344	3
SRR5957423	22992	3365	9
SRR5964963	10095	1209	0
SRR5959773	1625899	8656	10
SRR5958953	2856539	7709	11
SRR5967990	543829	4019	7
SRR5960823	116143	5291	11
SRR5960658	1439782	6713	3
SRR5959322	2879	484	2
SRR5960535	31478	2645	3
SRR5961005	832834	5982	8
SRR5958735	894	425	5
SRR5959949	216092	4483	4
SRR5961412	512702	3689	1
SRR5959752	211998	4698	4
SRR5967464	421436	3862	1
SRR5959150	15816	727	0
SRR5960735	251252	4825	3
SRR5959907	272623	4032	4
SRR5965046	6222	791	0
SRR5967530	548187	3924	1
SRR5964868	3991	681	0
SRR5964641	8140	948	0
SRR5959219	8350	696	0
SRR5967562	412512	3488	1
SRR5957534	671612	5330	9
SRR5959966	141131	4942	4
SRR5959412	38419	1155	0
SRR5960831	80754	3659	8
SRR5960408	1051397	5745	3
SRR5960143	187328	4473	4
SRR5968078	98122	1632	7
SRR5960106	113960	3948	4
SRR5960186	1536524	7675	10
SRR5957556	114671	2985	9
SRR5957369	105875	5732	9
SRR5959746	135301	3821	4
SRR5968090	268843	2485	7
SRR5960591	209490	5540	3
SRR5964896	1849	464	0
SRR5957481	241430	3190	9
SRR5959802	149593	3608	10
SRR5967628	255765	2700	1
SRR5967994	386275	2188	7
SRR5967795	447188	3537	1
SRR5960465	1241755	5280	3
SRR5957392	53135	2811	9
SRR5959729	163107	4289	4
SRR5959091	4142	630	0
SRR5961273	216923	4992	8
SRR5959355	11463	667	0
SRR5960313	242120	5774	3
SRR5959041	31843	947	0
SRR5960158	95520	2927	4
SRR5967986	45115	2143	7
SRR5959207	6324	539	0
SRR5959858	1343358	9200	10
SRR5964690	14676	1254	2
SRR5964902	9170	1062	0
SRR5964976	9511	1091	0
SRR5958707	205756	4396	5
SRR5960380	881571	4963	3
SRR5967933	413087	2923	1
SRR5957329	170349	5572	9
SRR5959398	23685	920	0
SRR5961321	458850	3325	1
SRR5968014	210062	3118	7
SRR5960360	1423924	5403	3
SRR5958664	309414	4725	6
SRR5960413	77715	3183	3
SRR5958727	1391735	4862	5
SRR5958712	5690	1675	5
SRR5960099	242677	5223	4
SRR5960763	89539	3152	3
SRR5960489	329044	5420	3
SRR5959741	260157	4876	10
SRR5960513	1100168	6512	3
SRR5960531	84976	3483	3
SRR5958834	1345694	4776	5
SRR5957490	97922	5100	9
SRR5957523	121890	4317	9
SRR5961018	326394	4956	8
SRR5958841	69143	4615	5
SRR5960213	332301	5478	4
SRR5958689	866192	4041	5
SRR5960757	474248	6806	3
SRR5967998	41602	1121	7
SRR5957398	106285	3349	9
SRR5961269	267651	4038	8
SRR5959962	64036	2895	4
SRR5960296	216288	3991	3
SRR5958852	2585	1018	5
SRR5968021	107977	2358	7
SRR5961371	558612	4356	1
SRR5959786	272288	5419	4
SRR5960557	81863	2964	3
SRR5959328	2340	336	0
SRR5964859	5485	876	0
SRR5959808	186581	4227	4
SRR5965032	9820	1077	0
SRR5960201	303470	3987	4
SRR5959891	273716	4044	4
SRR5959321	52365	1523	0
SRR5968063	485724	2288	7
SRR5967577	511827	2231	1
SRR5958916	131592	4655	5
SRR5959204	3525	393	0
SRR5968194	81637	1609	7
SRR5960693	86488	4356	3
SRR5961391	735500	4688	1
SRR5959973	53928	3259	4
SRR5958667	161664	3723	5
SRR5961291	426666	5269	8
SRR5960643	573106	5426	3
SRR5967827	562468	3853	1
SRR5960560	1660846	6882	3
SRR5958695	23507	3664	5
SRR5960958	385908	6198	8
SRR5957464	153750	4336	9
SRR5967817	840589	3460	1
SRR5960904	209828	6053	11
SRR5958741	150836	3355	5
SRR5959970	45594	3403	4
SRR5967633	632490	2540	1
SRR5959778	338233	5156	4
SRR5960669	55076	3582	3
SRR5960845	136784	5329	11
SRR5960581	434194	5554	3
SRR5958771	372364	3893	5
SRR5967664	838375	2983	1
SRR5961427	683631	4112	1
SRR5960585	838211	5276	3
SRR5959989	356330	3809	4
SRR5959908	298635	3287	4
SRR5961459	445664	2894	1
SRR5959326	3038	418	0
SRR5959228	87259	1409	0
SRR5961240	154640	5117	11
SRR5965111	3160	665	0
SRR5958738	320758	3295	1
SRR5958782	95046	4096	11
SRR5959916	364636	4480	4
SRR5960423	113878	4625	3
SRR5960474	175457	4847	3
SRR5959240	125630	1866	0
SRR5961343	1332122	6032	1
SRR5958698	446887	6000	5
SRR5957421	80330	5081	9
SRR5957450	34318	2639	9
SRR5967774	1029934	3031	1
SRR5959236	37118	925	0
SRR5958731	3096389	6794	5
SRR5965001	10856	1181	0
SRR5961125	645381	5627	8
SRR5957533	476005	5911	9
SRR5960317	185755	3746	3
SRR5958808	8635	2167	5
SRR5959090	26913	990	0
SRR5957338	124510	3071	9
SRR5967922	775765	5027	1
SRR5960471	385744	6250	3
SRR5959111	77525	1198	0
SRR5960080	53235	3054	4
SRR5958688	1660672	3802	5
SRR5960755	348142	5162	3
SRR5960743	51795	3232	3
SRR5960928	873270	5207	8
SRR5960592	121736	4485	3
SRR5959259	1096	259	0
SRR5958726	14131	2519	5
SRR5967554	345776	3124	1
SRR5958724	32541	3214	5
SRR5967622	312924	3109	1
SRR5959727	156627	4375	4
SRR5960935	476859	4776	8
SRR5959072	69292	1013	0
SRR5960068	549144	6290	10
SRR5960205	525111	4855	10
SRR5959050	2085	354	0
SRR5958885	136219	4143	11
SRR5967856	526345	3604	1
SRR5968067	18185	1324	7
SRR5959734	685346	7415	5
SRR5960640	186268	5753	3
SRR5967494	698341	2868	1
SRR5959396	4262	456	0
SRR5959819	548616	4728	4
SRR5967614	425152	2451	1
SRR5960306	11115	1309	7
SRR5964841	8190	917	0
SRR5959421	52356	1122	0
SRR5967693	768183	3269	1
SRR5958818	6550	1269	5
SRR5960107	313550	4526	4
SRR5960187	340292	5073	10
SRR5960761	1493244	5383	3
SRR5959019	2180822	5326	5
SRR5960653	185247	4873	3
SRR5957590	187685	3495	9
SRR5959001	2428	870	5
SRR5958674	17889	2868	5
SRR5957526	123947	5271	9
SRR5960023	540560	4597	10
SRR5960044	285837	4536	4
SRR5959987	520052	3918	4
SRR5958797	148952	4529	5
SRR5959233	31692	897	0
SRR5968043	250869	1929	7
SRR5958933	22217	1720	5
SRR5968115	66759	2531	7
SRR5967973	33618	3098	7
SRR5960050	179429	4183	4
SRR5960331	136930	4573	3
SRR5960352	179372	5406	3
SRR5960075	765295	6425	10
SRR5959362	17363	735	0
SRR5959213	832	221	0
SRR5957367	101202	3878	9
SRR5968114	122370	3773	7
SRR5958963	1072522	2852	5
SRR5959832	963065	8110	10
SRR5958675	147841	1284	2
SRR5960350	302196	5606	3
SRR5968211	38475	1252	7
SRR5960433	1809476	7188	3
SRR5959096	14676	677	0
SRR5959124	2101	349	0
SRR5959043	1597	251	0
SRR5959407	7546	639	0
SRR5965051	8351	1066	0
SRR5959863	232578	5104	10
SRR5965136	7696	967	0
SRR5959045	46443	1006	0
SRR5958740	6774	1844	5
SRR5958678	15139	2795	5
SRR5960156	160486	2976	4
SRR5960098	499955	4295	4
SRR5961337	415617	3103	1
SRR5959847	449958	5538	10
SRR5960826	179373	5390	11
SRR5958684	1070434	5664	5
SRR5960297	21892	1311	7
SRR5960534	529322	6278	3
SRR5967751	709270	2724	1
SRR5967783	500007	3331	1
SRR5967810	678866	2432	1
SRR5958870	7529	1780	5
SRR5958989	186020	4090	11
SRR5967689	519324	3490	1
SRR5967716	912271	3094	1
SRR5958743	226942	4018	5
SRR5961453	1127325	5731	1
SRR5959035	1470	290	0
SRR5959216	2510	367	0
SRR5958694	22142	3216	5
SRR5960070	2346195	9345	10
SRR5960332	333784	5052	3
SRR5960947	481886	5742	8
SRR5958733	4130926	7011	10
SRR5960632	345785	6489	3
SRR5959179	855	208	0
SRR5957513	279144	4528	9
SRR5960137	997769	6431	10
SRR5958934	951693	4986	5
SRR5957580	62499	4872	9
SRR5959422	31721	882	0
SRR5959923	1116354	8471	10
SRR5968111	138438	2681	7
