Cell	nCount_RNA	nFeature_RNA	Cluster
NM_RHC5924__Epithelial__.2749FE	1117844.33486892	5547	0
NM_RHC5925__Epithelial__.2749FE	1384170.99610543	3769	0
NM_RHC5929__Epithelial__.2749FE	1629184.00947843	3747	0
NM_RHC5931__Epithelial__.2749FE	827346.645570064	3006	0
NM_RHC5932__Epithelial__.2749FE	1618829.01414833	4046	1
NM_RHC5935__Epithelial__.2749FE	962850.011414831	3047	0
NM_RHC5936__Epithelial__.2749FE	2000650.00324349	4626	0
NM_RHC5938__Epithelial__.2749FE	101081.999449865	2698	0
NM_RHC5941__Epithelial__.2749FE	885716.025813531	2917	0
NM_RHC5943__Macrophage__.FFFF55	265668.007142782	1972	3
NM_RHC5947__Epithelial__.2749FE	2163252.37290333	4732	1
NM_RHC5948__Epithelial__.2749FE	1488429.77910985	4772	1
NM_RHC5949__Epithelial__.2749FE	1652715.00566931	5884	1
NM_RHC5950__Epithelial__.2749FE	3651106.99414178	5112	1
NM_RHC5952__Bcell__.7DEA7B	549954.008203106	1907	0
NM_RHC6049__Epithelial__.2749FE	151207.999478318	3141	0
NM_RHC6054__Epithelial__.2749FE	776320.317561417	6347	1
NM_RHC6057__Epithelial__.2749FE	120835.998988799	2105	1
NM_RHC6058__Epithelial__.2749FE	342450.003519985	3576	0
NM_RHC6063__Epithelial__.2749FE	490576.013774621	2915	0
NM_RHC6073__Epithelial__.2749FE	786237.535639718	3913	1
NM_RHC6074__Epithelial__.2749FE	299552.223909346	4757	0
NM_RHC6075__Epithelial__.2749FE	1070816.11985666	5241	1
NM_RHC6077__Epithelial__.2749FE	324140.590267642	2978	0
NM_RHC6081__Epithelial__.2749FE	376845.303822152	1478	0
NM_RHC6087__Epithelial__.2749FE	706889.340865312	7247	1
NM_RHC6091__Epithelial__.2749FE	1130640.00663006	4935	1
NM_RHC6092__Epithelial__.2749FE	226747.193417896	2573	0
NM_RHC6094__Epithelial__.2749FE	1836489.91834805	4659	0
NM_RHC6095__Epithelial__.2749FE	375248.001152908	3609	0
NM_RHC6103__Epithelial__.2749FE	148659.999653509	2299	0
NM_RHC6105__Epithelial__.2749FE	957605.986115906	3743	0
NM_RHC6106__Epithelial__.2749FE	397934.000691055	2740	0
NM_RHC6113__Epithelial__.2749FE	362136.004244767	1545	0
NM_RHC6114__Epithelial__.2749FE	742919.96362911	3326	1
NM_RHC6135__Tcell__.C6E879	598452.993866572	1444	2
NM_RHC6144__Macrophage__.FFFF55	1390027.0002009	1628	3
NM_RHC6149__Tcell__.C6E879	1286364.74449021	1586	2
NM_RHC6151__Bcell__.7DEA7B	1239786.00704472	1252	4
NM_RHC6155__Macrophage__.FFFF55	453627.995395884	1359	3
NM_RHC6156__Macrophage__.FFFF55	124667.987660664	1289	0
NM_RHC6161__Tcell__.C6E879	1468491.95548192	1254	2
NM_RHC6163__Macrophage__.FFFF55	2033932.9923517	1712	3
NM_RHC6166__Tcell__.C6E879	733088.535063655	1505	2
NM_RHC6173__Macrophage__.FFFF55	308089.61423603	1270	0
NM_RHC6174__Macrophage__.FFFF55	1518559.95511441	1625	3
NM_RHC6176__Macrophage__.FFFF55	1172820.8476105	2026	3
NM_RHC6187__Macrophage__.FFFF55	146554.999948432	1478	0
TM_RHC3546__Tcell__.C6E879	765244.216906691	4460	2
TM_RHC3555__Bcell__.7DEA7B	1799394.00202421	2310	4
TM_RHC3556__Epithelial__.2749FE	878116.187064859	4270	1
TM_RHC3557__Bcell__.7DEA7B	530630.654047822	5113	4
TM_RHC3562__Bcell__.7DEA7B	1470997.24362482	2601	4
TM_RHC3563__Bcell__.7DEA7B	300491.523308453	4239	0
TM_RHC3565__Epithelial__.2749FE	815080.149462088	3646	0
TM_RHC3567__Epithelial__.2749FE	1143575.71817959	3058	0
TM_RHC3569__Epithelial__.2749FE	973350.005600479	5099	1
TM_RHC3570__NA__grey	277623.495602872	3314	0
TM_RHC3579__Epithelial__.2749FE	1582625.88684727	5984	1
TM_RHC3581__Epithelial__.2749FE	1257036.98256217	5414	1
TM_RHC3582__Macrophage__.FFFF55	1327903.00121101	2898	3
TM_RHC3585__Epithelial__.2749FE	787454.979739569	3361	0
TM_RHC3589__Epithelial__.2749FE	1137048.52811784	3292	0
TM_RHC3590__Epithelial__.2749FE	816668.961887731	5913	0
TM_RHC3591__Epithelial__.2749FE	3105640.46113088	4695	1
TM_RHC3593__Epithelial__.2749FE	1014868.00658282	5738	1
TM_RHC3594__Bcell__.7DEA7B	2544805.49291665	3305	4
TM_RHC3596__Bcell__.7DEA7B	3030745.01553528	4425	4
TM_RHC3597__Epithelial__.2749FE	3316234.34761157	4479	1
TM_RHC3598__Epithelial__.2749FE	869648.002406741	4898	0
TM_RHC3599__Epithelial__.2749FE	3820916.00558367	4694	1
