Cell	nCount_RNA	nFeature_RNA	Cluster
SRR7667014	3224624	5736	0
SRR7667053	1078389	1745	0
SRR7666452	22945	498	1
SRR7667468	1581629	5094	6
SRR7666574	682666	2652	7
SRR7667191	497856	3535	8
SRR7667263	511251	4329	4
SRR7666864	546758	4575	0
SRR7667122	628933	2407	3
SRR7667435	2878595	4084	4
SRR7667200	577665	2934	4
SRR7666461	1373991	3463	5
SRR7666895	272024	4546	0
SRR7666453	5629	228	1
SRR7667372	1259528	6363	2
SRR7666538	656195	4756	4
SRR7666974	49897	305	1
SRR7667490	1446514	9065	0
SRR7667387	733965	1677	2
SRR7666978	5965058	1975	0
SRR7666420	4607	304	1
SRR7666589	698520	3495	4
SRR7666731	4171074	10559	2
SRR7667676	6458	295	1
SRR7666752	3371867	9545	2
SRR7667185	954807	3742	5
SRR7666717	2108782	4781	5
SRR7666346	2105483	3700	9
SRR7667493	576419	1641	1
SRR7666811	571098	2656	3
SRR7667048	216431	530	0
SRR7667019	91979	348	1
SRR7667309	226526	1264	1
SRR7666645	377934	1381	5
SRR7666858	364539	4541	0
SRR7667089	999655	2236	3
SRR7666725	3056854	7971	2
SRR7666909	535320	4058	0
SRR7667260	1043128	3405	5
SRR7667150	544016	1885	3
SRR7666994	26554	268	1
SRR7666844	574301	3454	3
SRR7666347	2090697	3147	9
SRR7666797	453330	2108	4
SRR7666699	533286	1549	5
SRR7667680	901061	1130	0
SRR7666823	1259384	3561	3
SRR7666695	833237	2505	2
SRR7666905	161156	1109	0
SRR7666499	1108894	3078	5
SRR7666779	2089680	6152	6
SRR7666873	96118	1096	1
SRR7667051	1205	277	1
SRR7666666	1075762	6635	2
SRR7666966	266724	635	0
SRR7667327	492264	1145	1
SRR7667109	667775	1848	3
SRR7666887	599355	5011	0
SRR7667304	1527786	4151	2
SRR7666511	679666	1748	11
SRR7666803	732554	2753	3
SRR7667303	505921	3357	2
SRR7666531	1319242	3796	5
SRR7666848	882092	4583	2
SRR7667230	808989	6169	4
SRR7667413	467110	1428	1
SRR7667348	1125359	3518	0
SRR7667538	15996	381	1
SRR7667054	2790729	3643	0
SRR7667508	364073	987	5
SRR7666600	621281	4872	2
SRR7667481	1443079	8403	2
SRR7666913	467491	2802	0
SRR7666855	353442	4413	0
SRR7667218	574762	2623	7
SRR7667292	975312	2592	10
SRR7667144	517206	715	6
SRR7666630	480030	9493	4
SRR7667361	2075454	7011	0
SRR7666620	538284	2912	5
SRR7667249	724067	1901	4
SRR7666521	670300	1952	2
SRR7667427	1321689	2901	5
SRR7666851	3040	1010	3
SRR7667063	98630	452	1
SRR7667660	303	229	1
SRR7666953	8583318	5781	0
SRR7667702	1955059	3623	0
SRR7666915	90893	1370	0
SRR7667206	311243	3687	8
SRR7667262	529340	1068	4
SRR7666482	1136398	3869	2
SRR7666563	918901	5093	4
SRR7666768	2027925	6725	2
SRR7666843	875104	3217	3
SRR7667358	1677742	7262	5
SRR7666457	342599	2477	7
SRR7666769	2499361	7793	2
SRR7666536	540011	1846	5
SRR7666358	1992843	3208	9
SRR7666866	358764	2958	5
SRR7666373	2070177	2656	6
SRR7666822	1566587	5324	6
SRR7667439	580241	2732	5
SRR7666940	1732877	1289	0
SRR7666875	491484	5103	0
SRR7667401	1550127	2800	2
SRR7666930	37698	279	6
SRR7667537	54560	294	1
SRR7667696	20418	425	1
SRR7666753	3456347	5616	5
SRR7666418	8185	426	1
SRR7666884	398683	4456	0
SRR7667241	498	383	1
SRR7666623	1220216	3343	2
SRR7666988	1182134	1131	0
SRR7666938	180132	424	1
SRR7667420	2524271	4081	3
SRR7667497	1296415	2144	6
SRR7667001	1253600	1803	0
SRR7666491	905229	2564	5
SRR7667011	2124755	3601	0
SRR7666847	83041	443	1
SRR7667134	862653	2283	3
SRR7667132	886820	2019	8
SRR7667245	1010800	4803	7
SRR7667196	127041	590	1
SRR7667194	348178	6722	4
SRR7667147	846285	3706	6
SRR7667685	175964	454	1
SRR7666983	86964	286	1
SRR7666720	2782205	8583	2
SRR7667199	767859	6499	4
SRR7666591	586218	4714	4
SRR7666504	405351	3534	2
SRR7666984	1167059	930	0
SRR7667428	1287400	4297	1
SRR7666572	209693	2152	11
SRR7667486	1446778	4017	6
SRR7667323	884354	2287	1
SRR7666537	1029396	2502	5
SRR7666649	798164	2025	5
SRR7666357	2379344	4696	9
SRR7667429	1400007	6352	4
SRR7667231	821029	3131	7
SRR7666616	775616	6029	4
SRR7667280	305330	916	1
SRR7667013	2152833	3748	0
SRR7667307	4299	246	1
